事发街道,事发区县,月份,立案量,年份,均值,方差,数据量,出线,年月,日期,
德胜,西城区,5,1018,2016,665.5625,449.9782456,48,0,24197,16/5,
德胜,西城区,6,1009,2016,665.5625,449.9782456,48,0,24198,16/6,
德胜,西城区,7,1104,2016,665.5625,449.9782456,48,0,24199,16/7,
德胜,西城区,8,947,2016,665.5625,449.9782456,48,0,24200,16/8,
德胜,西城区,9,1057,2016,665.5625,449.9782456,48,0,24201,16/9,
德胜,西城区,10,1226,2016,665.5625,449.9782456,48,0,24202,16/10,
德胜,西城区,11,1223,2016,665.5625,449.9782456,48,0,24203,16/11,
德胜,西城区,12,1032,2016,665.5625,449.9782456,48,0,24204,16/12,
德胜,西城区,1,1412,2017,665.5625,449.9782456,48,0,24205,17/1,
德胜,西城区,2,1227,2017,665.5625,449.9782456,48,0,24206,17/2,
德胜,西城区,3,1153,2017,665.5625,449.9782456,48,0,24207,17/3,
德胜,西城区,4,674,2017,665.5625,449.9782456,48,0,24208,17/4,
德胜,西城区,5,397,2017,665.5625,449.9782456,48,0,24209,17/5,
德胜,西城区,6,290,2017,665.5625,449.9782456,48,0,24210,17/6,
德胜,西城区,7,187,2017,665.5625,449.9782456,48,0,24211,17/7,
德胜,西城区,8,84,2017,665.5625,449.9782456,48,0,24212,17/8,
德胜,西城区,9,60,2017,665.5625,449.9782456,48,0,24213,17/9,
德胜,西城区,10,63,2017,665.5625,449.9782456,48,0,24214,17/10,
德胜,西城区,11,102,2017,665.5625,449.9782456,48,0,24215,17/11,
德胜,西城区,12,107,2017,665.5625,449.9782456,48,0,24216,17/12,
德胜,西城区,1,89,2018,665.5625,449.9782456,48,0,24217,18/1,
德胜,西城区,2,51,2018,665.5625,449.9782456,48,0,24218,18/2,
德胜,西城区,3,58,2018,665.5625,449.9782456,48,0,24219,18/3,
德胜,西城区,4,85,2018,665.5625,449.9782456,48,0,24220,18/4,
德胜,西城区,5,258,2018,665.5625,449.9782456,48,0,24221,18/5,
德胜,西城区,6,318,2018,665.5625,449.9782456,48,0,24222,18/6,
德胜,西城区,7,252,2018,665.5625,449.9782456,48,0,24223,18/7,
德胜,西城区,8,252,2018,665.5625,449.9782456,48,0,24224,18/8,
德胜,西城区,9,244,2018,665.5625,449.9782456,48,0,24225,18/9,
德胜,西城区,10,270,2018,665.5625,449.9782456,48,0,24226,18/10,
德胜,西城区,11,161,2018,665.5625,449.9782456,48,0,24227,18/11,
德胜,西城区,12,240,2018,665.5625,449.9782456,48,0,24228,18/12,
东华门,东城区,1,463,2015,734.2291667,254.6787079,48,0,24181,15/1,
东华门,东城区,2,594,2015,734.2291667,254.6787079,48,0,24182,15/2,
东华门,东城区,3,712,2015,734.2291667,254.6787079,48,0,24183,15/3,
东华门,东城区,4,558,2015,734.2291667,254.6787079,48,0,24184,15/4,
东华门,东城区,5,652,2015,734.2291667,254.6787079,48,0,24185,15/5,
东华门,东城区,6,783,2015,734.2291667,254.6787079,48,0,24186,15/6,
东华门,东城区,7,894,2015,734.2291667,254.6787079,48,0,24187,15/7,
东华门,东城区,8,1272,2015,734.2291667,254.6787079,48,2,24188,15/8,
东华门,东城区,9,960,2015,734.2291667,254.6787079,48,0,24189,15/9,
东华门,东城区,10,717,2015,734.2291667,254.6787079,48,0,24190,15/10,
东华门,东城区,11,476,2015,734.2291667,254.6787079,48,0,24191,15/11,
东华门,东城区,12,499,2015,734.2291667,254.6787079,48,0,24192,15/12,
东华门,东城区,1,623,2016,734.2291667,254.6787079,48,0,24193,16/1,
东华门,东城区,2,605,2016,734.2291667,254.6787079,48,0,24194,16/2,
东华门,东城区,3,738,2016,734.2291667,254.6787079,48,0,24195,16/3,
东华门,东城区,4,568,2016,734.2291667,254.6787079,48,0,24196,16/4,
东华门,东城区,5,487,2016,734.2291667,254.6787079,48,0,24197,16/5,
东华门,东城区,6,519,2016,734.2291667,254.6787079,48,0,24198,16/6,
东华门,东城区,7,610,2016,734.2291667,254.6787079,48,0,24199,16/7,
东华门,东城区,8,413,2016,734.2291667,254.6787079,48,0,24200,16/8,
